HOUR,Model,MAE,R2
1,Deep,5432525.258907005,-1.9356868829148883
1,RF,1905321.2009167487,0.5434602591591662
1,XGB,2047588.02294686,0.4705219306176116
2,Deep,4389299.755585749,-11.552707133123514
2,RF,1158008.1117943504,-0.306458659535231
2,XGB,1242514.559178744,-0.474685448867197
3,Deep,10874955.040609904,-8.907371915154261
3,RF,1777712.99372905,-0.07903723211749858
3,XGB,1986194.4057971016,-0.11270128270026869
4,Deep,25400365.959692027,-46.10793994705694
4,RF,2963725.909239048,-0.06840777180038837
4,XGB,3257486.946859903,-0.29330511610445553
5,Deep,35558095.13994565,-5.829793806635066
5,RF,5554646.398429647,0.6269633193645205
5,XGB,6422317.275362318,0.563311793977834
6,Deep,27962271.73777174,-4.86602880122735
6,RF,4584986.164011584,0.6534343862617741
6,XGB,5055355.371980676,0.6226951158499494
7,Deep,22022764.161231883,-6.8932859288891235
7,RF,3506869.541768473,0.5864612904915898
7,XGB,3822289.995169082,0.5424844215551305
8,Deep,25201697.7709843,-7.256117927756103
8,RF,4008080.208200246,0.6394196610372469
8,XGB,4421408.31884058,0.5808525828801259
9,Deep,13561075.274607487,-5.580155183211486
9,RF,2283986.075062946,0.7337806452112134
9,XGB,2430842.644927536,0.6919130190703027
10,Deep,2905739.5086050723,-1.807251001783973
10,RF,988082.682451827,0.4399843240157253
10,XGB,1145367.3958333333,0.23810129304071648
