HOUR,MODEL,MAE,RMSE,R2,SAVE_PATH
1,RF,20234.583882722847,40582.71294378222,0.012211895882487833,./models\HOUR_01\model_RF.joblib
1,XGB,19084.937425411066,38481.57015600363,0.11184818487689219,./models\HOUR_01\model_XGB.joblib
1,DEEP_MLP,18568.268215279666,36359.40031409394,0.20710612550076135,./models\HOUR_01\model_DEEP_MLP.joblib
2,RF,9219.43374325777,28769.40959450093,0.019137645499640032,./models\HOUR_02\model_RF.joblib
2,XGB,7992.9536765423945,28098.111534601576,0.06437798522493088,./models\HOUR_02\model_XGB.joblib
2,DEEP_MLP,7996.053014023406,28456.975781686135,0.040326160091396,./models\HOUR_02\model_DEEP_MLP.joblib
3,RF,10042.70052631603,30664.867070616103,-0.002574942422350679,./models\HOUR_03\model_RF.joblib
3,XGB,8688.067835111102,30260.293068802872,0.023705297386145574,./models\HOUR_03\model_XGB.joblib
3,DEEP_MLP,8786.677589211486,30618.84461171653,0.0004321692226783025,./models\HOUR_03\model_DEEP_MLP.joblib
4,RF,4577.5238453783595,9211.507586627864,0.31523399769602356,./models\HOUR_04\model_RF.joblib
4,XGB,4496.411306189672,9199.75632804295,0.31698001582302693,./models\HOUR_04\model_XGB.joblib
4,DEEP_MLP,4877.155617914698,9479.618553171184,0.2747921668343716,./models\HOUR_04\model_DEEP_MLP.joblib
5,RF,5900.770310327091,10345.257015610568,0.38073448932785814,./models\HOUR_05\model_RF.joblib
5,XGB,5510.9475534867,9834.238633388664,0.4404024444128182,./models\HOUR_05\model_XGB.joblib
5,DEEP_MLP,6255.987256892192,10738.26238987586,0.33279030646888896,./models\HOUR_05\model_DEEP_MLP.joblib
6,RF,8992.985814154083,20636.21532286502,0.05677036837278682,./models\HOUR_06\model_RF.joblib
6,XGB,8683.5417557995,20467.59848891492,0.0721214996051237,./models\HOUR_06\model_XGB.joblib
6,DEEP_MLP,8258.019336884414,20482.138272070562,0.07080273774611445,./models\HOUR_06\model_DEEP_MLP.joblib
7,RF,6619.785522121021,11697.625237820665,0.3210629224310032,./models\HOUR_07\model_RF.joblib
7,XGB,6109.017404780866,10994.515801947711,0.4002277955497061,./models\HOUR_07\model_XGB.joblib
7,DEEP_MLP,8064.7933430762205,13037.159305916592,0.1566651174183724,./models\HOUR_07\model_DEEP_MLP.joblib
8,RF,7734.327964909932,14602.080379232206,0.45161087137125644,./models\HOUR_08\model_RF.joblib
8,XGB,7446.228136626767,14327.984437967654,0.47200529229461186,./models\HOUR_08\model_XGB.joblib
8,DEEP_MLP,10433.692932625776,16933.99402187882,0.26247257976658367,./models\HOUR_08\model_DEEP_MLP.joblib
9,RF,14434.988268244446,48003.82545277431,0.04038576870817878,./models\HOUR_09\model_RF.joblib
9,XGB,13422.90763409664,46834.035119394495,0.0865850011961663,./models\HOUR_09\model_XGB.joblib
9,DEEP_MLP,14860.082038350756,48067.25667821342,0.03784806585239742,./models\HOUR_09\model_DEEP_MLP.joblib
10,RF,21389.189614858755,51569.237288707605,0.027645604085725695,./models\HOUR_10\model_RF.joblib
10,XGB,19843.404101139542,50877.782207812954,0.05354600375065499,./models\HOUR_10\model_XGB.joblib
10,DEEP_MLP,21209.6470392903,51929.42713549484,0.014015179708316672,./models\HOUR_10\model_DEEP_MLP.joblib
