HOUR,MAE_AMT,MAE_CNT,model_path,model_type,n_train,n_test
1,1192919.3371956837,17.86481488760614,./models_hourly_amt_cnt\hour_01_amt_cnt.joblib,MLP(Deep),33935,8484
2,234625.92269040726,7.636068312898278,./models_hourly_amt_cnt\hour_02_amt_cnt.joblib,XGB,33998,8500
3,610638.963142701,14.998795198011083,./models_hourly_amt_cnt\hour_03_amt_cnt.joblib,XGB,35715,8929
4,1758911.6887153052,45.613034188895746,./models_hourly_amt_cnt\hour_04_amt_cnt.joblib,XGB,36360,9091
5,2206063.2929265443,43.98485527816244,./models_hourly_amt_cnt\hour_05_amt_cnt.joblib,XGB,36408,9102
6,1995921.2819442623,39.934335464311815,./models_hourly_amt_cnt\hour_06_amt_cnt.joblib,XGB,36400,9101
7,1978358.2224694707,40.93636567125413,./models_hourly_amt_cnt\hour_07_amt_cnt.joblib,XGB,36412,9104
8,2354001.276791398,40.83369658874515,./models_hourly_amt_cnt\hour_08_amt_cnt.joblib,XGB,36351,9088
9,1187586.5376185214,21.959639275751663,./models_hourly_amt_cnt\hour_09_amt_cnt.joblib,XGB,35988,8998
10,479457.6283360005,8.285100161448423,./models_hourly_amt_cnt\hour_10_amt_cnt.joblib,XGB,33247,8312
