TA_YMD,DATE,DAY,DAY_NAME,TEMP,RAIN,HOUR,시간대,예측매출
20251226,2025-12-26,3,수,5.3,0.0,1,00:00~06:59,4438330
20251226,2025-12-26,3,수,5.3,0.0,2,07:00~08:59,3509969
20251226,2025-12-26,3,수,5.3,0.0,3,09:00~10:59,7962034
20251226,2025-12-26,3,수,5.3,0.0,4,11:00~12:59,23290254
20251226,2025-12-26,3,수,5.3,0.0,5,13:00~14:59,25216281
20251226,2025-12-26,3,수,5.3,0.0,6,15:00~16:59,16645265
20251226,2025-12-26,3,수,5.3,0.0,7,17:00~18:59,16065300
20251226,2025-12-26,3,수,5.3,0.0,8,19:00~20:59,20222781
20251226,2025-12-26,3,수,5.3,0.0,9,21:00~22:59,10378039
20251226,2025-12-26,3,수,5.3,0.0,10,23:00~23:59,1908782
